,Barbier-Ramos,LYON,69001,04.40.59.10.79,,journaliste
Alexandria,Bazin,,,04.12.05.72.76,alexandria.bazin@server.fr,
,Bernier,,,04.32.82.55.94,alexandria.bernier@server.fr,architecte
Alexandria,Bodin,,,04.37.81.65.90,alexandria.bodin@server.fr,journaliste
Alexandria,Colin,MARSEILLE,13010,04.09.41.85.45,alexandria.colin@server.fr,cuisinier
Alexandria,Coulon-Texier,PARIS,75017,01.98.01.27.06,alexandria.coulon-texier@server.fr,
Alexandria,de la Baron,,,04.58.17.59.52,alexandria.de-la-baron@server.fr,journaliste
Alexandria,de la Bruneau,MARSEILLE,13016,04.11.51.02.06,alexandria.de-la-bruneau@server.fr,cuisinier
Alexandria,Diallo-Dumont,,,04.11.87.92.94,alexandria.diallo-dumont@server.fr,chef d'entreprise
Alexandria,du Coulon,PARIS,75017,01.18.91.77.95,alexandria.du-coulon@server.fr,chauffeur
